"Control_328"	"Control_330"	"Control_327"	"DSS_334"	"DSS_339"	"RCE_322"	"RCE_318"	"RCE_319"	"RCE_plus_DSS_305"	"RCE_plus_DSS_313"	"RCE_plus_DSS_301"
"d__Bacteria|p__Bacteroidetes"	18.9860009943722	17.2426533104791	17.974285549519	18.9978341149307	19.4901725192651	19.2244307034337	18.8332165742536	18.5475109596763	18.0986224146431	18.469001916215	18.1007148213504
"d__Bacteria|p__Chlorobi"	8.44211761132043	7.50912326088931	8.24398098614842	8.92318305534187	8.81363912693229	9.35731556075485	8.58836089532764	8.68756031764056	8.95193910904681	8.57965519753	8.57786167142686
"d__Bacteria|p__Ignavibacteriae"	5.86355175705776	5.61817420463729	6.04138420590826	6.12202126637923	6.20190243831615	5.85357574925247	5.81665794038023	6.15495226837371	6.33146145042972	6.19466757640165	6.34322706915552
"d__Bacteria|p__Balneolaeota"	4.76999222100472	3.73774709785744	4.64638377284073	5.17027766101553	4.49004339097512	6.09031799737948	5.19763263892548	4.96116253131626	5.10127277299402	4.91404939107858	5.08128462088428
"d__Bacteria|p__Gemmatimonadetes"	5.75539301413391	4.8107652158737	5.60408167269166	5.69084147840879	5.73641810819953	7.11437049715741	6.32392076226489	6.25105199532499	6.10413096153803	5.53380485274017	5.63440865736296
"d__Bacteria|p__Fibrobacteres"	6.2526242260094	5.53994204323156	5.5806739218698	6.35702543526531	6.48260229295556	7.3323316742768	6.30196196927027	5.62176115758851	5.72991899703529	6.22188031600423	5.8657509577611
"d__Bacteria|p__Candidatus Cloacimonetes"	3.11436001892282	3.29494185183679	3.97836023540395	3.75671517269646	3.60006670411142	3.11749665747771	3.66075233831437	3.62747326598628	4.44819980364008	4.04274689363329	4.65621818750031
"d__Bacteria|p__Firmicutes"	16.6096917370876	16.6720680287884	17.5858060138651	16.3080015066282	15.9453605206697	16.3753150708737	16.0190704907562	16.6521279242023	17.8137478500508	16.7176246141979	17.0802705758583
"d__Bacteria|p__Actinobacteria"	16.7401530659023	15.7629636624069	15.4115584220796	13.7385068734862	16.8550161071467	15.2226925767556	14.4881180614898	15.3486785205248	14.6939395672559	14.118969684632	14.8989325575037
"d__Bacteria|p__Cyanobacteria"	10.6144215456128	10.6740073947302	10.9662635437838	10.7527384982666	10.667998881845	11.0715714928771	10.8904865105476	10.8282447588387	11.2834203694975	10.7995333977077	10.8434944267564
"d__Bacteria|p__Tenericutes"	10.1685403309112	10.5311795731659	10.1881225872093	10.9318264018514	10.0350931614247	9.76890357353572	10.3143266104532	10.2636201191442	11.0014389774576	10.2871762493181	9.81884732960588
"d__Bacteria|p__Deinococcus-Thermus"	8.34616686081214	7.71894915079427	8.55576837674238	8.68619710248715	8.74375425163923	9.04495391422499	8.28118470946676	8.58802923554565	9.42067626576524	8.88771984253472	9.00294641776067
"d__Bacteria|p__Chloroflexi"	8.13269796675966	7.64986026918788	8.44021762803873	8.36531548476106	8.27247975139363	8.78426157721907	8.07733358979831	8.61974802712292	9.09718086760699	8.53152828393228	8.62531234977848
"d__Bacteria|p__Armatimonadetes"	5.53009482657712	4.73413705290831	4.98885490863135	6.04719165077375	5.98340869694286	4.54709417482959	4.70651208131885	5.22188835679242	5.32902029840072	5.56813898445418	5.33284993731502
"d__Bacteria|p__Proteobacteria"	17.6530331919203	16.6920957301661	16.806371040497	17.189694631691	17.0615043222614	17.2101790313593	17.3044424554537	16.9052100146595	17.8692232399641	16.8633726885847	16.7897787568431
"d__Bacteria|p__Spirochaetes"	12.5825236405008	12.2834764658831	12.9791324936326	13.199462657453	11.7175810165355	11.1416137070156	12.1225124126806	11.6911185248625	12.9173531865807	12.6721605479007	12.4146189356742
"d__Bacteria|p__Planctomycetes"	9.80010338351492	9.12515293431678	9.76197607931831	9.87317907234127	9.9820602264834	10.4977839785172	9.75708501481046	9.88552634328781	10.1045739408208	9.87595386925523	9.80517649864747
"d__Bacteria|p__Verrucomicrobia"	9.47243128072059	8.43556407130849	8.88343517136072	10.1342006230595	10.0761069618498	10.2606336835028	9.5229436141327	9.56253542739448	9.48384820819356	9.77346570923414	9.60195875575711
"d__Bacteria|p__Chlamydiae"	6.64354846291202	6.81219178388721	6.73261599458661	6.80093406264533	6.75967476643488	6.37977562490655	6.7419441503667	6.72647873041778	7.40054316822539	6.92814563453089	6.83499203891527
"d__Bacteria|p__Candidatus Omnitrophica"	2.7777068896381	3.16752924368842	4.51141755976845	3.17293159590778	3.60006670411142	2.92254689607331	2.50821424541624	3.6437509831031	4.80161637572628	3.39011197979565	4.32943973183819
"d__Bacteria|p__Kiritimatiellaeota"	4.04177838565657	3.21663697779953	4.3387859670483	4.90428294325194	3.07339675072543	4.92594527607839	4.71484603498298	4.56789290115288	4.57968263865638	4.49939002940233	4.24862955483987
"d__Bacteria|p__Fusobacteria"	9.6789774062377	10.0699007565369	9.86401267728519	10.3557996860233	9.3251818744263	9.12196078355359	9.66088902258304	9.57770605514606	10.1008471879698	9.55788422424368	9.55791911243297
"d__Bacteria|p__Thermotogae"	7.93437909999652	8.0174470239776	8.42808992181202	8.63032889674146	8.01165179304004	8.37246493949442	8.2606966658072	8.31191114322573	8.82817645474307	8.37790326190972	8.46564337793045
"d__Bacteria|p__Acidobacteria"	8.34416789084547	7.57729566062062	8.10849522836788	8.51473970501443	8.70783671441218	8.80280768943179	8.22394474443654	8.48564165599377	8.4051591919096	8.51512247322707	8.40323242047701
"d__Bacteria|p__Synergistetes"	7.45924693129263	7.10842579713786	8.00238660117051	7.27721259452841	7.15895334619493	7.75493146250977	7.26184247675531	7.59124894224187	8.83057866393378	7.85427287938965	8.25250886516107
"d__Bacteria|p__Deferribacteres"	7.02423010969394	7.81575337268701	7.17137408533991	7.31314202430499	6.98313492999755	7.12120730077163	7.86254429773746	8.17371549646778	8.80270877554541	7.49025368698716	8.54627754533283
"d__Bacteria|p__Aquificae"	6.4213937049472	7.00855266281046	6.61738427718978	6.93610921999325	6.3334386802829	6.34904269741888	6.58713176753456	6.89063282786481	7.86043875157937	6.90985543433331	7.26866168736842
"d__Bacteria|p__Candidatus Saccharibacteria"	7.59656484842598	5.82497309119852	5.85883194743248	7.90452908298425	7.95716720167503	6.62396252310115	6.68157249080894	8.12960884882144	5.94473160389437	8.5380387251114	8.17140790623783
"d__Bacteria|p__Thermodesulfobacteria"	5.38726289167776	5.78754304297093	6.09900920839553	5.92712484355846	5.13584970947262	6.01889653635793	5.69134210610628	5.44727393287356	6.38800831503208	5.97874834801667	6.02249744638639
"d__Bacteria|p__Nitrospirae"	5.97453951267692	5.67198524366757	6.0919307057653	6.68231407604785	6.55626855408945	6.464651924881	6.12253654009654	6.43532855227906	7.03856473891549	6.60132271630276	6.62515852371917
"d__Bacteria|p__Elusimicrobia"	4.5655656974846	4.38617746539759	5.17005944450319	5.44746074048354	5.42517719401743	4.60025868781767	5.1553945711115	5.21100542056733	6.03914853033327	5.52071592779955	5.68646984768161
"d__Bacteria|p__Dictyoglomi"	4.7857890594116	5.5842735040737	4.77569881672006	5.17027766101553	4.24475218830336	5.09290785653075	5.07351255821454	4.97409399041458	4.68962948712997	4.51707358769834	4.23004002267503
"d__Bacteria|p__Chrysiogenetes"	4.17969089318173	4.06718517414271	4.46833640465165	4.66945127721651	4.87301232386785	4.43450015055238	3.8841033176533	4.44323879630836	4.88718744044588	4.88028796271511	4.83906732555352
"d__Bacteria|p__Calditrichaeota"	4.50958892181459	4.49633776149477	4.39354615035802	5.53526092619606	5.46397504061719	4.95684854909685	4.66410450864045	4.89470725189509	5.5951312135063	5.08384832462532	5.46590455932988
"d__Bacteria|s__Isorropodon fossajaponicum symbiont"	2.15526053672067	2.67638312246428	4.07725293922748	4.46745091056424	4.41282251044843	1.94565568973542	2.72175165198944	2.69356025750152	4.17330550823619	3.35120723481544	3.50374932444772
"d__Eukaryota|k__Metazoa"	17.7371325870221	17.2780062076867	16.4063352739486	13.1411888954876	17.8291182404366	15.6263727673293	16.0258633651136	16.0544668291881	14.6023694340997	14.6245189849154	15.4232883922243
"d__Archaea|p__Euryarchaeota"	9.72451129181806	9.98770584843396	10.0493038507652	9.8207909122171	9.60088327656934	9.86876432758684	9.82482255309863	9.61094433548785	10.0574111498656	9.73100415797517	9.6328019431751
"d__Archaea|p__Crenarchaeota"	7.05388715069128	7.8844771486765	7.46140117849198	6.66573478093577	6.51683353250301	6.77899250998577	7.4370330203173	6.65801115879945	6.70844754391253	6.93144635560389	6.61623885310171
"d__Archaea|p__Thaumarchaeota"	6.30837047318352	7.11815082624289	6.58413876348295	5.9409698159006	5.9150482985112	6.00417793437133	6.60293335167983	5.93120158811044	6.24765789684634	6.13865203670235	6.0170861634504
"d__Archaea|p__Candidatus Thermoplasmatota"	5.65145482163913	5.4808665224705	5.26542394321901	5.75494497849226	5.99670049677745	5.18279199068426	4.97287056013781	4.98051651189876	5.21596557505414	5.58500441942413	5.50508742714293
"d__Archaea|p__Candidatus Lokiarchaeota"	3.8447248524442	4.11976638576528	3.63306428279956	4.29131548875072	3.13880219151517	3.28921164858964	4.35846188159949	3.96201309852065	4.26140860279322	3.78985873168292	4.28510509847608
"d__Viruses|p__Uroviricota"	7.20839004144896	7.64613072115463	7.92417231640372	6.97026482663406	6.8912304531363	7.03211767508623	7.13716591521557	7.10125367972569	7.31905849774778	6.91152779479842	6.8272829937026
"d__Viruses|p__Peploviricota"	3.88927526565069	4.7509034724343	3.98856018344208	2.1764625984311	2.04375395151092	3.77872156022794	4.0381579001624	3.65984708831415	3.16237750252527	3.40917787166676	2.94347615843909
"d__Viruses|k__Pararnavirae"	8.96866679319521	7.98769538622843	7.18363399420522	1.12000639961993	9.01431022312693	5.66682886613863	5.02741845819093	6.76232950854932	4.74161250802962	2.77773333111871	6.06507219646228
"d__Viruses|k__Orthornavirae"	4.65428864397291	5.25659850420734	4.95804250151054	2.89804124076959	3.13880219151517	4.31236926646252	5.37637709127838	4.10994581255008	3.92617554085686	4.42640512882441	4.01885788729594
"d__Viruses|k__Bamfordvirae"	6.70714554064727	7.69315589702469	6.90944555806625	5.03051013117662	4.81416788566778	6.48599616697609	7.23312006194758	6.41650431394823	5.44016185534907	6.01653635300894	5.07087619647767
"d__Viruses|f__Baculoviridae"	5.7713496333479	5.59669339591257	4.88347958292701	5.51071562515601	5.83344324971193	3.60752183580188	4.66410450864045	4.54207309070089	3.22214848468135	5.45342849553567	4.69739809574601
